Cloud9,NA,Bunny FuFuu
Cloud9,NA,Sneaky
Cloud9,NA,Reapered
Cloud9,NA,LemonNation
Cloud9,NA,Rush
Cloud9,NA,Meteos
Cloud9,NA,Impact
Cloud9,NA,Smoothie
Cloud9,NA,Jensen
Cloud9,NA,Hai
Counter Logic Gaming,NA,Aphromoo
Counter Logic Gaming,NA,Darshan
Counter Logic Gaming,NA,Huhi
Counter Logic Gaming,NA,Xmithie
Counter Logic Gaming,NA,Stixxay
Counter Logic Gaming,NA,Zikzlol
Echo Fox,NA,Kfo
Echo Fox,NA,Kez
Echo Fox,NA,Stunt
Echo Fox,NA,Ginko
Echo Fox,NA,Cop
Echo Fox,NA,Goldenglue
Echo Fox,NA,HeavenTime
Echo Fox,NA,BIG
Echo Fox,NA,KEITH
Echo Fox,NA,Solo (Colin Earnest)
Echo Fox,NA,Grigne
Echo Fox,NA,Froggen
Echo Fox,NA,LOD
Echo Fox,NA,Hard
Immortals,NA,Dylan
Immortals,NA,WildTurtle
Immortals,NA,Adrian
Immortals,NA,Huni
Immortals,NA,Pobelter
Immortals,NA,Reignover
NRG Esports,NA,Shrimp
NRG Esports,NA,GBM
NRG Esports,NA,Hermit
NRG Esports,NA,KonKwon
NRG Esports,NA,Moon (Galen Holgate)
NRG Esports,NA,Santorin
NRG Esports,NA,KiWiKiD
NRG Esports,NA,Quas
NRG Esports,NA,LOD
NRG Esports,NA,Ohq
NRG Esports,NA,Impact
NRG Esports,NA,Altec
Renegades,NA,Hermes (David Tu)
Renegades,NA,Alex Ich
Renegades,NA,Remi
Renegades,NA,Hakuho
Renegades,NA,Flaresz
Renegades,NA,Ninja
Renegades,NA,Crumbz
Renegades,NA,LOD
Renegades,NA,Ohq
Renegades,NA,Freeze
Renegades,NA,Seraph
Team Dignitas,NA,InnerFlame
Team Dignitas,NA,Shiphtur
Team Dignitas,NA,Apollo (Apollo Price)
Team Dignitas,NA,Raz
Team Dignitas,NA,Kirei
Team Dignitas,NA,KiWiKiD
Team Dignitas,NA,BillyBoss
Team Impulse,NA,Jason
Team Impulse,NA,Ken
Team Impulse,NA,Beibei
Team Impulse,NA,Procxin
Team Impulse,NA,Gate
Team Impulse,NA,Mash
Team Impulse,NA,Pirean
Team Impulse,NA,Seraph
Team Liquid,NA,FeniX
Team Liquid,NA,IWDominate
Team Liquid,NA,Matt
Team Liquid,NA,Lourlo
Team Liquid,NA,Moon (Galen Holgate)
Team Liquid,NA,Locodoco
Team Liquid,NA,Smoothie
Team Liquid,NA,Piglet
Team Liquid,NA,Fabbbyyy
Team Liquid,NA,Dardoch
Team SoloMid,NA,Jarge
Team SoloMid,NA,Reginald
Team SoloMid,NA,YellOwStaR
Team SoloMid,NA,Bjergsen
Team SoloMid,NA,Parth
Team SoloMid,NA,Hauntzer
Team SoloMid,NA,Doublelift
Team SoloMid,NA,Biofrost
Team SoloMid,NA,Svenskeren
Apex Gaming,NA,Shrimp
Apex Gaming,NA,Keane
Apex Gaming,NA,Saintvicious
Apex Gaming,NA,Xpecial
Apex Gaming,NA,Apollo (Apollo Price)
Phoenix1,NA,Zentinel
Phoenix1,NA,Brandini
Phoenix1,NA,Inori
Phoenix1,NA,Slooshi
Phoenix1,NA,Mash
Phoenix1,NA,Gate
Phoenix1,NA,Pirean
Phoenix1,NA,BonQuish
Phoenix1,NA,Charlie (Charlie Lipsie)
Team EnVyUs,NA,Miracle (Lee Hyeon-beom)
Team EnVyUs,NA,Procxin
Team EnVyUs,NA,Hakuho
Team EnVyUs,NA,Ninja
Team EnVyUs,NA,LOD
Elements,EU,Nyph
Elements,EU,Eika
Elements,EU,MrRalleZ
Elements,EU,Sprattel
Elements,EU,Gilius
Fnatic,EU,Kikis
Fnatic,EU,Deilor
Fnatic,EU,Febiven
Fnatic,EU,Rekkles
Fnatic,EU,Gamsu
Fnatic,EU,YellOwStaR
Fnatic,EU,NoXiAK
Fnatic,EU,Werlyb
Fnatic,EU,Klaj
Fnatic,EU,Spirit
G2 Esports,EU,Emperor
G2 Esports,EU,PerkZ
G2 Esports,EU,Kikis
G2 Esports,EU,Mithy
G2 Esports,EU,YoungBuck
G2 Esports,EU,Hybrid
G2 Esports,EU,Zven
G2 Esports,EU,Trick
G2 Esports,EU,Expect
Giants Gaming,EU,Smittyj
Giants Gaming,EU,Maxlore
Giants Gaming,EU,XPePii
Giants Gaming,EU,Hustlin
Giants Gaming,EU,S0NSTAR
Giants Gaming,EU,G0DFRED
Giants Gaming,EU,Adryh
Giants Gaming,EU,Lozark
Giants Gaming,EU,K0u
Giants Gaming,EU,BetongJocke
Giants Gaming,EU,NighT
